Date,Close_AAPL,High_AAPL,Low_AAPL,Open_AAPL,Volume_AAPL,Price_Movement_AAPL,RSI_Close_AAPL,MACD_Line_Close_AAPL,MACD_Signal_Close_AAPL,MACD_Histogram_Close_AAPL,Bollinger_Upper_Close_AAPL,Bollinger_Lower_Close_AAPL,Bollinger_Mid_Close_AAPL
5/11/2012,17.05433846,17.28786524,16.98331756,17.00287844,399546000,1,57.61318024,-0.19464093,-0.100267428,-0.094373502,20.29034332,11.87384674,16.08209503
5/14/2012,16.7988472,17.07841628,16.78018954,16.92975453,352626400,0,56.51915863,-0.224143971,-0.125042737,-0.099101234,20.2698143,11.99119689,16.13050559
5/15/2012,16.64687347,16.94931419,16.6041404,16.89604932,476336000,0,55.88087716,-0.256827801,-0.15139975,-0.105428051,20.24721534,12.10417035,16.17569284
5/16/2012,16.43350983,16.75882219,16.28183786,16.67335604,560896000,0,54.99906461,-0.29652844,-0.180425488,-0.116102952,20.2220523,12.21204389,16.21704809
5/17/2012,15.95321751,16.47624412,15.95321751,16.41033885,717220000,0,53.09193873,-0.362567605,-0.216853911,-0.145713694,20.18844473,12.31813691,16.25329082
5/18/2012,15.96104336,16.3531627,15.71427662,16.0687785,732292400,0,53.11872436,-0.409551582,-0.255393445,-0.154158137,20.15363575,12.42459542,16.28911559
5/21/2012,16.89093399,16.89875931,16.07148544,16.08502908,631106000,1,56.12886055,-0.367515827,-0.277817922,-0.089697905,20.12688721,12.54411916,16.33550319
5/22/2012,16.76123047,17.27011236,16.62911937,17.13980612,694870400,0,55.62509336,-0.340740335,-0.290402404,-0.050337931,20.09310085,12.66857427,16.38083756
5/23/2012,17.17020988,17.2376195,16.64868737,16.7771856,584897600,1,56.85970107,-0.283254167,-0.288972757,0.00571859,20.06089289,12.80159586,16.43124437
5/24/2012,17.01251984,17.34896686,16.88943616,17.33000705,496230000,0,56.24951033,-0.247566441,-0.280691494,0.033125052,20.02625656,12.93027147,16.47826401
5/25/2012,16.9213295,17.02846356,16.80637173,16.99054556,328507200,0,55.89871009,-0.224059146,-0.269365024,0.045305879,19.99039626,13.05519543,16.52279585
5/29/2012,17.2216568,17.2737195,17.01220706,17.18042965,380508800,1,56.79606233,-0.179130635,-0.251318146,0.072187512,19.95408016,13.18815867,16.57111941
5/30/2012,17.42930794,17.45398445,17.04982744,17.12927475,529429600,1,57.40208931,-0.125324097,-0.226119336,0.10079524,19.90782892,13.3406537,16.62424131
5/31/2012,17.38597107,17.49942289,17.19728435,17.47655124,491674400,0,57.2326601,-0.085196854,-0.19793484,0.112737986,19.8633354,13.48567322,16.67450431
6/1/2012,16.88220787,17.23310004,16.86806476,17.12807298,520987600,0,55.31349179,-0.092973465,-0.176942565,0.0839691,19.7943694,13.64865168,16.72151054
6/4/2012,16.98152161,17.07812229,16.50634511,16.89756133,556995600,1,55.61023946,-0.090084262,-0.159570904,0.069486643,19.75436173,13.76732415,16.76084294
6/5/2012,16.9375782,17.04711979,16.80215793,16.89063272,388214400,1,55.44549378,-0.090299496,-0.145716623,0.055417126,19.70698685,13.89374483,16.80036584
6/6/2012,17.19728851,17.26921105,17.01792977,17.0862426,401455600,1,56.2206278,-0.068721442,-0.130317586,0.061596145,19.66194457,14.02183205,16.84188831
6/7/2012,17.20511055,17.37363372,17.16839633,17.3727321,379766800,0,56.24381284,-0.050408428,-0.114335755,0.063927327,19.61919937,14.14396416,16.88158176
6/8/2012,17.46391869,17.47174401,17.12325935,17.2015029,347516400,1,57.00564668,-0.014840507,-0.094436705,0.079596198,19.58068027,14.26530084,16.92299056
6/11/2012,17.1885643,17.71008512,17.17231258,17.68661238,591264800,0,55.95744407,-0.008770371,-0.077303438,0.068533067,19.53183797,14.39103579,16.96143688
6/12/2012,17.33872604,17.35256861,17.05404134,17.28756817,435380400,1,56.39956189,0.008064095,-0.060229932,0.068294026,19.47837438,14.52544447,17.00190943
6/13/2012,17.21835518,17.40854627,17.16478815,17.2893761,293580000,0,55.94432638,0.011559358,-0.045872074,0.057431432,19.42344742,14.65559217,17.0395198
6/14/2012,17.19939232,17.25867766,17.07089414,17.19066538,345573200,1,55.87248191,0.012653375,-0.034166984,0.046820359,19.36857839,14.7823916,17.075485
6/15/2012,17.27763557,17.29238137,17.13980616,17.18344247,335255200,1,56.10767332,0.019607941,-0.023411999,0.04301994,19.31613435,14.90525458,17.11069446
6/18/2012,17.62823296,17.69173072,17.16449149,17.18224753,440412000,1,57.14269879,0.052801104,-0.008169378,0.060970482,19.27569327,15.01865604,17.14717466
6/19/2012,17.67728424,17.75522564,17.54758065,17.55660814,361404400,1,57.28520539,0.082118344,0.009888166,0.072230178,19.25300244,15.10436946,17.17868595
